time,seconds_elapsed,z,y,x
1638227353344281600,0.218281494140625,0.31821727752685547,-0.09098625183105469,-0.07173937559127808
1638227353364429600,0.2384296875,0.35051822662353516,-0.18389010429382324,0.001293957233428955
1638227353384577800,0.258577880859375,0.28560543060302734,-0.14518308639526367,-0.008348047733306885
1638227353404725800,0.278725830078125,0.2114429473876953,-0.0913388729095459,-0.04140925407409668
1638227353424879900,0.2988798828125,0.14672279357910156,-0.06200909614562988,-0.08925175666809082
1638227353445027800,0.31902783203125,0.16187286376953125,-0.04516482353210449,-0.14881175756454468
1638227353465175800,0.33917578125,0.22606468200683594,-0.09109330177307129,-0.07134979963302612
1638227353485324000,0.359323974609375,0.26223087310791016,-0.1527721881866455,-0.12240028381347656
1638227353505472000,0.379471923828125,0.1779022216796875,-0.14030218124389648,-0.07547885179519653
1638227353525620200,0.3996201171875,0.0675497055053711,-0.11484146118164062,-0.13346010446548462
1638227353545768200,0.419768310546875,0.023342132568359375,-0.03354620933532715,-0.12703245878219604
1638227353565916400,0.43991650390625,0.055123329162597656,-0.11704349517822266,-0.1321425437927246
1638227353586064400,0.460064453125,0.11275672912597656,-0.18721652030944824,-0.08483535051345825
1638227353606212400,0.48021240234375,0.1692647933959961,-0.2775731086730957,-0.03988677263259888
1638227353626360600,0.500360595703125,0.1743335723876953,-0.2734222412109375,-0.06151580810546875
1638227353646508500,0.520508544921875,0.21660423278808594,-0.2607431411743164,-0.11441600322723389
1638227353666656500,0.540656494140625,0.1761932373046875,-0.16672515869140625,-0.22795075178146362
1638227353686804700,0.5608046875,0.22823238372802734,-0.13064146041870117,-0.2462727427482605
1638227353706952700,0.58095263671875,0.20430374145507812,-0.15589642524719238,-0.1756998896598816
1638227353727101000,0.601100830078125,0.1524209976196289,-0.18901777267456055,-0.13301599025726318
1638227353747246800,0.621246826171875,0.1195230484008789,-0.20305371284484863,-0.1691068410873413
1638227353767393000,0.64139306640625,0.07594490051269531,-0.16922831535339355,-0.17843842506408691
1638227353787539200,0.661539306640625,0.048462867736816406,-0.12867426872253418,-0.18401938676834106
1638227353807685400,0.681685302734375,0.07964324951171875,-0.1035761833190918,-0.15454155206680298
1638227353827831300,0.701831298828125,0.0751504898071289,-0.09491872787475586,-0.150682270526886
1638227353847977500,0.7219775390625,0.12868213653564453,-0.08854913711547852,-0.19501978158950806
1638227353868123600,0.74212353515625,0.12781429290771484,-0.13296008110046387,-0.14388960599899292
1638227353888269600,0.76226953125,0.10007190704345703,-0.10916709899902344,-0.17120736837387085
1638227353908415700,0.782415771484375,0.06781005859375,-0.14446282386779785,-0.12400639057159424
1638227353928562000,0.80256201171875,0.11269283294677734,-0.15496492385864258,-0.1531098484992981
1638227353948707800,0.822707763671875,0.14928054809570312,-0.1564345359802246,-0.17276525497436523
1638227353968854000,0.84285400390625,0.11076736450195312,-0.12418723106384277,-0.08928060531616211
1638227353989000200,0.863000244140625,0.03383636474609375,-0.10673952102661133,-0.15037530660629272
1638227354009146400,0.883146484375,0.06000995635986328,-0.1369304656982422,-0.1263730525970459
1638227354029292300,0.903292236328125,0.04290294647216797,-0.11698770523071289,-0.21091383695602417
1638227354049438500,0.9234384765625,0.09789562225341797,-0.13512086868286133,-0.2823758125305176
1638227354069584600,0.943584716796875,0.14288997650146484,-0.1763749122619629,-0.1340707540512085
1638227354089730600,0.96373046875,0.005177497863769531,-0.14241456985473633,-0.08704864978790283
1638227354109876700,0.983876708984375,-0.05392742156982422,-0.15217852592468262,-0.05996298789978027
1638227354130023000,1.00402294921875,0.05700206756591797,-0.20778846740722656,-0.08875852823257446
1638227354150168800,1.0241689453125,0.029105186462402344,-0.12446236610412598,-0.07889872789382935
1638227354170315000,1.04431494140625,0.017177581787109375,-0.12378621101379395,-0.011277973651885986
1638227354190461200,1.064461181640625,0.06146717071533203,-0.14014506340026855,-0.0537489652633667
1638227354210607000,1.084607177734375,0.1344738006591797,-0.07271027565002441,-0.14103037118911743
1638227354230753000,1.1047529296875,0.21120071411132812,-0.12141156196594238,-0.07580524682998657
1638227354250897700,1.124897705078125,0.1797018051147461,-0.0398404598236084,-0.08567088842391968
1638227354271042600,1.14504248046875,0.22404861450195312,-0.05260634422302246,-0.044638991355895996
1638227354291187200,1.165187255859375,0.18008136749267578,-0.03508639335632324,-0.021596848964691162
1638227354311331800,1.185331787109375,0.07334613800048828,-0.014894723892211914,0.016650676727294922
1638227354331476700,1.205476806640625,0.05632591247558594,-0.0197296142578125,0.07744079828262329
1638227354351621400,1.225621337890625,0.09554004669189453,-0.1083526611328125,0.028641700744628906
1638227354371766000,1.24576611328125,0.1571502685546875,-0.0770261287689209,0.021250545978546143
1638227354391910700,1.26591064453125,0.19530773162841797,-0.09662365913391113,0.03202778100967407
1638227354412055600,1.2860556640625,0.2152261734008789,-0.1401076316833496,0.08364778757095337
1638227354432200200,1.3062001953125,0.13399887084960938,-0.09203171730041504,0.023292064666748047
1638227354452344800,1.3263447265625,0.08455181121826172,0.013999223709106445,0.013346254825592041
1638227354472489700,1.34648974609375,0.0804910659790039,0.08077168464660645,0.0013908743858337402
1638227354492634400,1.36663427734375,0.19900131225585938,0.07029914855957031,0.05098617076873779
1638227354512779000,1.386779052734375,0.11159229278564453,0.14696979522705078,0.13229334354400635
1638227354532924000,1.406923828125,0.019181251525878906,0.19983220100402832,0.19627416133880615
1638227354553068500,1.427068603515625,-0.07846641540527344,0.19971609115600586,0.2219153642654419
1638227354573213200,1.447213134765625,-0.07445812225341797,0.13891291618347168,0.2764241099357605
1638227354593358000,1.467358154296875,-0.033728599548339844,0.1295454502105713,0.31308746337890625
1638227354613502700,1.487502685546875,0.029732704162597656,0.12552690505981445,0.38810840249061584
1638227354633647400,1.5076474609375,0.07833099365234375,0.13247323036193848,0.38093411922454834
1638227354653792300,1.527792236328125,0.049180030822753906,0.12808561325073242,0.2514539361000061
1638227354673937000,1.54793701171875,0.10932350158691406,0.05593228340148926,0.15591299533843994
1638227354694081500,1.56808154296875,0.06698036193847656,0.04528474807739258,0.12058854103088379
1638227354714226200,1.58822607421875,-0.1076803207397461,0.1465761661529541,0.13361304998397827
1638227354734370800,1.608370849609375,-0.2728004455566406,0.1848442554473877,0.2332431674003601
1638227354754515200,1.62851513671875,-0.31735706329345703,0.18117618560791016,0.31788432598114014
1638227354774659300,1.648659423828125,-0.3132448196411133,0.15688133239746094,0.34138453006744385
1638227354794803700,1.6688037109375,-0.33802318572998047,0.11741447448730469,0.35175198316574097
1638227354814947800,1.68894775390625,-0.2689218521118164,0.07944917678833008,0.31660664081573486
1638227354835092200,1.70909228515625,-0.5759954452514648,0.1224365234375,0.2320970892906189
1638227354855236600,1.729236572265625,-0.41239452362060547,0.044734954833984375,0.24476927518844604
1638227354875380700,1.749380615234375,-0.3517017364501953,0.05229043960571289,0.2555634379386902
1638227354895525000,1.769525146484375,-0.25674915313720703,0.07586812973022461,0.2280733585357666
1638227354915669200,1.789669189453125,-0.06611824035644531,0.14896535873413086,0.11854565143585205
1638227354935813600,1.809813720703125,0.08953380584716797,0.1933140754699707,0.008195161819458008
1638227354955958000,1.8299580078125,-0.008450508117675781,0.3169994354248047,-0.061482906341552734
1638227354976102100,1.85010205078125,-0.19346046447753906,0.39350104331970215,0.14239084720611572
1638227354996246500,1.87024658203125,-0.3052177429199219,0.40221166610717773,0.21385204792022705
1638227355016390700,1.890390625,-0.3186922073364258,0.44360947608947754,0.25258755683898926
1638227355036535000,1.91053515625,-0.3948488235473633,0.6545472145080566,0.18011713027954102
1638227355056679400,1.930679443359375,-0.4707489013671875,0.8028008937835693,0.03915679454803467
1638227355076823600,1.950823486328125,-0.4456033706665039,0.8043773174285889,0.10495400428771973
1638227355096968000,1.970968017578125,-0.45607471466064453,0.8602752685546875,0.18948113918304443
1638227355117112000,1.991112060546875,-0.47820568084716797,0.8252060413360596,0.2762857675552368
1638227355137256400,2.01125634765625,-0.6478796005249023,0.7527332305908203,0.29822301864624023
1638227355157400800,2.03140087890625,-0.9127073287963867,0.7636280059814453,0.5307468771934509
1638227355177545000,2.051544921875,-1.3013648986816406,0.762681245803833,1.054189920425415
1638227355197689300,2.071689453125,-1.7830820083618164,0.42122983932495117,1.4399373531341553
1638227355217833500,2.09183349609375,-1.855456829071045,0.21204614639282227,1.5959692001342773
1638227355237978400,2.111978271484375,-1.4738354682922363,-0.2932112216949463,1.6870712041854858
1638227355258123800,2.132123779296875,-0.7061309814453125,-0.9074654579162598,1.5765864849090576
1638227355278269200,2.152269287109375,0.2592487335205078,-1.0204432010650635,1.8555599451065063
1638227355298414600,2.17241455078125,-0.06289005279541016,-0.7542023658752441,1.8427414894104004
1638227355318560000,2.19256005859375,-0.633821964263916,-0.32013607025146484,1.1050174236297607
1638227355338705200,2.212705078125,-0.0972294807434082,0.09719991683959961,-0.1600208282470703
1638227355358850600,2.2328505859375,0.5826940536499023,0.1781024932861328,-1.225942611694336
1638227355378996000,2.252995849609375,1.3829865455627441,0.362302303314209,-1.8017158508300781
1638227355399141400,2.273141357421875,1.788571834564209,0.19425392150878906,-1.5038809776306152
1638227355419286800,2.293286865234375,0.3530898094177246,0.1209268569946289,-0.8932971954345703
1638227355439432200,2.31343212890625,0.24258708953857422,0.024020671844482422,-0.36818981170654297
1638227355459577300,2.333577392578125,0.09595489501953125,-0.8901984691619873,-0.3820676803588867
1638227355479722800,2.35372265625,-0.618077278137207,-0.40942811965942383,0.5162563323974609
