time,seconds_elapsed,z,y,x
1636955403669658400,0.203658447265625,-1.16493558883667,-0.627652645111084,-0.49110525846481323
1636955403689802500,0.223802490234375,-0.4151773452758789,0.0992894172668457,-0.21586577594280243
1636955403709947000,0.24394677734375,-2.0425620079040527,0.7794561386108398,0.3436305522918701
1636955403730091000,0.264091064453125,-1.8993134498596191,1.33565092086792,0.3558865189552307
1636955403750235400,0.2842353515625,-1.2089686393737793,1.582542896270752,0.09855321049690247
1636955403770379800,0.3043798828125,-1.0003743171691895,2.46858549118042,0.2344779372215271
1636955403790524000,0.32452392578125,-0.3427162170410156,1.0764131546020508,-1.8885223865509033
1636955403810668300,0.344668212890625,0.6907224655151367,-0.40035533905029297,-3.32954478263855
1636955403830812400,0.3648125,-2.3224005699157715,-0.2570178508758545,-1.5674681663513184
1636955403850956800,0.384956787109375,-2.9576706886291504,0.8502628803253174,2.095289468765259
1636955403871101000,0.405100830078125,-4.085696220397949,0.7246193885803223,0.7847350239753723
1636955403891245300,0.425245361328125,-2.4565248489379883,-0.8705368041992188,0.12418437004089355
1636955403911389700,0.4453896484375,-3.154116153717041,-1.6776251792907715,-0.7079917192459106
1636955403931533800,0.465533935546875,-3.4924426078796387,-2.4790472984313965,0.746880054473877
1636955403951678200,0.48567822265625,-3.732832431793213,-3.1441423892974854,0.985011100769043
1636955403971822300,0.505822265625,-3.7922685146331787,-3.7592501640319824,0.24593567848205566
1636955403991966500,0.525966552734375,-7.321515083312988,-2.268467426300049,2.587301731109619
1636955404012110600,0.546110595703125,-4.607722759246826,0.2936820983886719,1.7386784553527832
1636955404032254700,0.566254638671875,-3.2106053829193115,-3.3848519325256348,0.056003570556640625
1636955404052398800,0.58639892578125,-2.111798048019409,-4.895387649536133,-0.4250783920288086
1636955404072542700,0.606542724609375,-1.7853162288665771,-2.852123737335205,-0.923375129699707
1636955404092686800,0.626686767578125,-1.9802634716033936,-1.889209270477295,-2.5035314559936523
1636955404112831000,0.6468310546875,-2.1424458026885986,-0.6574239730834961,-2.672426700592041
1636955404132975000,0.66697509765625,-2.6455888748168945,-1.444577932357788,-2.4273500442504883
1636955404153119200,0.687119140625,-2.616976022720337,-0.9814438819885254,-1.0357513427734375
1636955404173263000,0.70726318359375,-2.4723801612854004,-2.1728944778442383,-0.6110334396362305
1636955404193407200,0.7274072265625,-1.821275234222412,-2.872493267059326,-0.5833520889282227
1636955404213551400,0.74755126953125,-1.5112727880477905,-2.5991547107696533,-0.8358821868896484
1636955404233695500,0.767695556640625,-1.0188922882080078,-2.4302103519439697,-2.2300949096679688
1636955404253839600,0.787839599609375,0.40910518169403076,-3.3358664512634277,-4.09222412109375
1636955404273983700,0.807983642578125,1.845092535018921,-3.049514055252075,-4.624286651611328
